id,raw_cosine,skeleton_cosine,executable
1,0.7453022599220276,0.8566203117370605,PASS
2,1.000000238418579,1.0,PASS
3,0.8627619743347168,0.9590349793434143,PASS
4,0.9108969569206238,0.9373722076416016,PASS
5,0.8518325090408325,0.9325400590896606,PASS
6,0.7652043104171753,0.8827383518218994,PASS
7,0.810215950012207,0.8647151589393616,PASS
8,0.7131065130233765,0.6915051341056824,PASS
9,0.8670603036880493,0.8635512590408325,PASS
10,0.7326619029045105,0.7586383819580078,PASS
101,0.8438795804977417,0.8104598522186279,PASS
102,0.997913122177124,0.9974087476730347,PASS
103,0.7255499362945557,0.8741815090179443,PASS
104,0.8248398303985596,0.9066272974014282,PASS
105,0.5521140098571777,0.7057521939277649,PASS
106,0.7780517339706421,0.9002379179000854,PASS
107,0.7815057039260864,0.8401371240615845,PASS
108,0.7798377275466919,0.7849285006523132,PASS
109,0.8161498308181763,0.8503388166427612,PASS
110,0.7970807552337646,0.8316351175308228,PASS
201,0.7402365803718567,0.8894546031951904,PASS
202,1.0000001192092896,1.0,PASS
203,0.5782721638679504,0.7584898471832275,PASS
204,0.8057702779769897,0.8076852560043335,PASS
205,0.7020081281661987,0.811909556388855,PASS
206,0.6635468006134033,0.8346211910247803,PASS
207,0.6128431558609009,0.9119371175765991,PASS
208,0.5351983904838562,0.7294188737869263,PASS
209,0.6237410306930542,0.8559117913246155,PASS
210,0.6917247176170349,0.9178245067596436,PASS
