id,skeleton_cosine,executable
1,0.8468596935272217,PASS
2,1.0,PASS
3,0.9456870555877686,PASS
4,0.9472514390945435,PASS
5,0.9354250431060791,PASS
6,0.8842424154281616,PASS
7,0.8738020658493042,PASS
8,0.8334084749221802,PASS
9,0.8792132139205933,PASS
10,0.7487642765045166,PASS
11,0.8431926965713501,PASS
12,0.8465220332145691,PASS
13,0.8776904344558716,PASS
14,0.8277587294578552,PASS
15,0.8580814599990845,PASS
16,0.9458646774291992,PASS
17,0.9001240730285645,PASS
18,0.8747493028640747,PASS
19,0.8415932655334473,PASS
20,0.9895427227020264,PASS
21,0.9322384595870972,PASS
22,0.7885506749153137,PASS
23,0.9333564043045044,PASS
24,0.8615679740905762,PASS
25,0.8530339002609253,PASS
26,0.8839868307113647,PASS
27,0.8788022994995117,PASS
28,0.8156553506851196,PASS
29,0.9610826373100281,PASS
30,0.8589258790016174,PASS
31,0.9944560527801514,PASS
32,0.844903290271759,PASS
33,0.736541748046875,PASS
34,0.9442529678344727,PASS
35,0.9154659509658813,PASS
36,0.8755961656570435,PASS
37,0.9084928035736084,PASS
38,0.8645349144935608,PASS
39,0.9455224871635437,PASS
40,0.945112943649292,PASS
41,0.9034841656684875,PASS
42,0.9044272899627686,PASS
43,0.8718346357345581,PASS
44,0.7325804829597473,PASS
45,0.9470893144607544,PASS
46,0.9161447286605835,PASS
47,0.8574093580245972,PASS
48,0.7298057675361633,PASS
49,0.8935776948928833,PASS
50,0.9572277665138245,PASS
51,0.8641518950462341,PASS
52,0.9280679225921631,PASS
53,0.8905109167098999,PASS
54,0.9381507635116577,PASS
55,0.8967888355255127,PASS
56,0.874598503112793,PASS
57,0.8763545155525208,PASS
58,0.8665264844894409,PASS
59,0.8451180458068848,PASS
60,0.9638264179229736,PASS
61,0.7668248414993286,PASS
62,0.8159376978874207,PASS
63,0.9449459910392761,PASS
64,0.948616623878479,PASS
65,0.9316793084144592,PASS
66,0.9210219383239746,PASS
67,0.8742284774780273,PASS
68,0.8170216679573059,PASS
69,0.9267799854278564,PASS
70,0.843384861946106,PASS
71,0.9377244710922241,PASS
72,0.9869060516357422,PASS
73,0.8210404515266418,PASS
74,0.9397735595703125,PASS
75,0.8811233043670654,PASS
76,0.9137492775917053,PASS
77,0.9429130554199219,PASS
78,0.8998957872390747,PASS
79,0.9080626964569092,PASS
80,0.8680106401443481,PASS
81,0.9006376266479492,PASS
82,0.7036337852478027,PASS
83,0.8046802282333374,PASS
84,0.8638969659805298,PASS
85,0.9686706066131592,PASS
86,0.9025750160217285,PASS
87,0.9376372694969177,PASS
88,0.8870778679847717,PASS
89,0.8743928670883179,PASS
90,0.9271806478500366,PASS
91,0.8796117901802063,PASS
92,0.8804054856300354,PASS
93,0.936922013759613,PASS
94,0.9294031858444214,PASS
95,0.7849797606468201,PASS
96,0.9729660749435425,PASS
97,0.9296935200691223,PASS
98,0.8824858665466309,PASS
99,0.9070749282836914,PASS
100,0.9589826464653015,PASS
101,0.8235040307044983,PASS
102,0.9974088668823242,PASS
103,0.8688039779663086,PASS
104,0.8429780006408691,PASS
105,0.6969324350357056,PASS
106,0.8614972829818726,PASS
107,0.8381062746047974,PASS
108,0.8575183153152466,PASS
109,0.8417873382568359,PASS
110,0.8264937996864319,PASS
111,0.8493717908859253,PASS
112,0.7895886898040771,PASS
113,0.803941011428833,PASS
114,0.8221852779388428,PASS
115,0.8241338729858398,PASS
116,0.7512855529785156,PASS
117,0.8106328845024109,PASS
118,0.812156617641449,PASS
119,0.8151640892028809,PASS
120,0.8259611129760742,PASS
121,0.8529846668243408,PASS
122,0.8288896083831787,PASS
123,0.8593388795852661,PASS
124,0.888274073600769,PASS
125,0.8272061347961426,PASS
126,0.752900242805481,PASS
127,0.7059836387634277,PASS
128,0.8720672130584717,PASS
129,0.8590179085731506,PASS
130,0.8268017768859863,PASS
131,0.8061673045158386,PASS
132,0.8742923736572266,PASS
133,0.7035825252532959,PASS
134,0.8116017580032349,PASS
135,0.8847726583480835,PASS
136,0.7942999601364136,PASS
137,0.7805502414703369,PASS
138,0.7618412971496582,PASS
139,0.8002870082855225,PASS
140,0.7660717964172363,PASS
141,0.8820130825042725,PASS
142,0.7722344398498535,PASS
143,0.9720382690429688,PASS
144,0.8508179187774658,PASS
145,0.8089763522148132,PASS
146,0.8020042777061462,PASS
147,0.7548428773880005,PASS
148,0.7982848882675171,PASS
149,0.8437687754631042,PASS
150,0.7646026611328125,PASS
151,0.7779790163040161,PASS
152,0.7780547142028809,PASS
153,0.8086267709732056,PASS
154,0.8228840827941895,PASS
155,0.8715108633041382,PASS
156,0.8559976816177368,PASS
157,0.8535357117652893,PASS
158,0.8085600137710571,PASS
159,0.8966465592384338,PASS
